topic_mean,report_mean,layout_flag
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_1,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_2,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_3,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_4,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_5,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_6,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_7,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_8,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_9,1
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_10,1
